arm,model,treatment,instance_id,project,patch_nonempty,official_resolved
deepseek-v4-flash__normal,DeepSeek V4 Flash,normal,sphinx-doc__sphinx-11510,Sphinx,True,False
deepseek-v4-flash__normal,DeepSeek V4 Flash,normal,sphinx-doc__sphinx-7590,Sphinx,True,False
deepseek-v4-flash__normal,DeepSeek V4 Flash,normal,sphinx-doc__sphinx-7748,Sphinx,True,False
deepseek-v4-flash__normal,DeepSeek V4 Flash,normal,sphinx-doc__sphinx-7757,Sphinx,True,True
deepseek-v4-flash__normal,DeepSeek V4 Flash,normal,sphinx-doc__sphinx-7985,Sphinx,True,False
deepseek-v4-flash__normal,DeepSeek V4 Flash,normal,sphinx-doc__sphinx-8035,Sphinx,True,True
deepseek-v4-flash__normal,DeepSeek V4 Flash,normal,sphinx-doc__sphinx-8056,Sphinx,True,True
deepseek-v4-flash__normal,DeepSeek V4 Flash,normal,sphinx-doc__sphinx-8265,Sphinx,True,False
deepseek-v4-flash__normal,DeepSeek V4 Flash,normal,sphinx-doc__sphinx-8269,Sphinx,True,True
deepseek-v4-flash__normal,DeepSeek V4 Flash,normal,sphinx-doc__sphinx-8475,Sphinx,True,True
deepseek-v4-flash__normal,DeepSeek V4 Flash,normal,sphinx-doc__sphinx-8548,Sphinx,True,False
deepseek-v4-flash__normal,DeepSeek V4 Flash,normal,sphinx-doc__sphinx-8551,Sphinx,True,True
deepseek-v4-flash__normal,DeepSeek V4 Flash,normal,sphinx-doc__sphinx-8638,Sphinx,True,False
deepseek-v4-flash__normal,DeepSeek V4 Flash,normal,sphinx-doc__sphinx-8721,Sphinx,True,True
deepseek-v4-flash__normal,DeepSeek V4 Flash,normal,sphinx-doc__sphinx-9229,Sphinx,True,False
deepseek-v4-flash__normal,DeepSeek V4 Flash,normal,sphinx-doc__sphinx-9230,Sphinx,True,True
deepseek-v4-flash__normal,DeepSeek V4 Flash,normal,sphinx-doc__sphinx-9281,Sphinx,True,True
deepseek-v4-flash__normal,DeepSeek V4 Flash,normal,sphinx-doc__sphinx-9320,Sphinx,True,True
deepseek-v4-flash__normal,DeepSeek V4 Flash,normal,sphinx-doc__sphinx-9367,Sphinx,True,True
deepseek-v4-flash__normal,DeepSeek V4 Flash,normal,sphinx-doc__sphinx-9461,Sphinx,True,False
deepseek-v4-flash__normal,DeepSeek V4 Flash,normal,sphinx-doc__sphinx-9698,Sphinx,True,True
deepseek-v4-flash__luna-compact,DeepSeek V4 Flash,luna-compact,django__django-11790,Django,True,False
deepseek-v4-flash__luna-compact,DeepSeek V4 Flash,luna-compact,django__django-11815,Django,True,True
deepseek-v4-flash__luna-compact,DeepSeek V4 Flash,luna-compact,django__django-11848,Django,True,False
deepseek-v4-flash__luna-compact,DeepSeek V4 Flash,luna-compact,django__django-11880,Django,True,True
deepseek-v4-flash__luna-compact,DeepSeek V4 Flash,luna-compact,django__django-11885,Django,True,True
deepseek-v4-flash__luna-compact,DeepSeek V4 Flash,luna-compact,django__django-11951,Django,True,True
deepseek-v4-flash__luna-compact,DeepSeek V4 Flash,luna-compact,django__django-11964,Django,True,False
deepseek-v4-flash__luna-compact,DeepSeek V4 Flash,luna-compact,django__django-11999,Django,True,True
deepseek-v4-flash__luna-compact,DeepSeek V4 Flash,luna-compact,django__django-12039,Django,True,True
deepseek-v4-flash__luna-compact,DeepSeek V4 Flash,luna-compact,django__django-12050,Django,True,True
deepseek-v4-flash__luna-compact,DeepSeek V4 Flash,luna-compact,django__django-12143,Django,True,True
deepseek-v4-flash__luna-compact,DeepSeek V4 Flash,luna-compact,django__django-12155,Django,True,True
deepseek-v4-flash__luna-compact,DeepSeek V4 Flash,luna-compact,django__django-12193,Django,True,True
deepseek-v4-flash__luna-compact,DeepSeek V4 Flash,luna-compact,django__django-12209,Django,True,True
deepseek-v4-flash__luna-compact,DeepSeek V4 Flash,luna-compact,django__django-12262,Django,True,True
deepseek-v4-flash__luna-compact,DeepSeek V4 Flash,luna-compact,django__django-12273,Django,True,False
deepseek-v4-flash__luna-compact,DeepSeek V4 Flash,luna-compact,django__django-12276,Django,True,True
deepseek-v4-flash__luna-compact,DeepSeek V4 Flash,luna-compact,django__django-12304,Django,True,True
deepseek-v4-flash__luna-compact,DeepSeek V4 Flash,luna-compact,django__django-12308,Django,True,False
deepseek-v4-flash__luna-compact,DeepSeek V4 Flash,luna-compact,django__django-12325,Django,True,False
deepseek-v4-flash__luna-compact,DeepSeek V4 Flash,luna-compact,django__django-12406,Django,True,False
deepseek-v4-flash__luna-compact,DeepSeek V4 Flash,luna-compact,django__django-12708,Django,True,True
deepseek-v4-flash__luna-compact,DeepSeek V4 Flash,luna-compact,django__django-12713,Django,True,True
deepseek-v4-flash__luna-compact,DeepSeek V4 Flash,luna-compact,django__django-12774,Django,True,True
deepseek-v4-flash__luna-compact,DeepSeek V4 Flash,luna-compact,django__django-9296,Django,True,True
deepseek-v4-flash__luna-compact,DeepSeek V4 Flash,luna-compact,sphinx-doc__sphinx-10323,Sphinx,True,True
deepseek-v4-flash__luna-compact,DeepSeek V4 Flash,luna-compact,sphinx-doc__sphinx-10435,Sphinx,True,False
deepseek-v4-flash__luna-compact,DeepSeek V4 Flash,luna-compact,sphinx-doc__sphinx-10466,Sphinx,True,True
deepseek-v4-flash__luna-compact,DeepSeek V4 Flash,luna-compact,sphinx-doc__sphinx-10673,Sphinx,True,False
deepseek-v4-flash__luna-compact,DeepSeek V4 Flash,luna-compact,sphinx-doc__sphinx-11510,Sphinx,True,False
deepseek-v4-flash__luna-compact,DeepSeek V4 Flash,luna-compact,sphinx-doc__sphinx-7590,Sphinx,True,False
deepseek-v4-flash__luna-compact,DeepSeek V4 Flash,luna-compact,sphinx-doc__sphinx-7748,Sphinx,True,False
deepseek-v4-flash__luna-compact,DeepSeek V4 Flash,luna-compact,sphinx-doc__sphinx-7757,Sphinx,True,True
deepseek-v4-flash__luna-compact,DeepSeek V4 Flash,luna-compact,sphinx-doc__sphinx-7985,Sphinx,True,True
deepseek-v4-flash__luna-compact,DeepSeek V4 Flash,luna-compact,sphinx-doc__sphinx-8035,Sphinx,True,True
deepseek-v4-flash__luna-compact,DeepSeek V4 Flash,luna-compact,sphinx-doc__sphinx-8056,Sphinx,True,False
deepseek-v4-flash__luna-compact,DeepSeek V4 Flash,luna-compact,sphinx-doc__sphinx-8265,Sphinx,True,False
deepseek-v4-flash__luna-compact,DeepSeek V4 Flash,luna-compact,sphinx-doc__sphinx-8269,Sphinx,True,True
deepseek-v4-flash__luna-compact,DeepSeek V4 Flash,luna-compact,sphinx-doc__sphinx-8475,Sphinx,True,True
deepseek-v4-flash__luna-compact,DeepSeek V4 Flash,luna-compact,sphinx-doc__sphinx-8548,Sphinx,True,False
deepseek-v4-flash__luna-compact,DeepSeek V4 Flash,luna-compact,sphinx-doc__sphinx-8551,Sphinx,True,True
deepseek-v4-flash__luna-compact,DeepSeek V4 Flash,luna-compact,sphinx-doc__sphinx-8638,Sphinx,True,False
deepseek-v4-flash__luna-compact,DeepSeek V4 Flash,luna-compact,sphinx-doc__sphinx-8721,Sphinx,True,True
deepseek-v4-flash__luna-compact,DeepSeek V4 Flash,luna-compact,sphinx-doc__sphinx-9229,Sphinx,True,False
deepseek-v4-flash__luna-compact,DeepSeek V4 Flash,luna-compact,sphinx-doc__sphinx-9230,Sphinx,True,True
deepseek-v4-flash__luna-compact,DeepSeek V4 Flash,luna-compact,sphinx-doc__sphinx-9281,Sphinx,True,True
deepseek-v4-flash__luna-compact,DeepSeek V4 Flash,luna-compact,sphinx-doc__sphinx-9320,Sphinx,True,True
deepseek-v4-flash__luna-compact,DeepSeek V4 Flash,luna-compact,sphinx-doc__sphinx-9367,Sphinx,True,True
deepseek-v4-flash__luna-compact,DeepSeek V4 Flash,luna-compact,sphinx-doc__sphinx-9461,Sphinx,True,False
deepseek-v4-flash__luna-compact,DeepSeek V4 Flash,luna-compact,sphinx-doc__sphinx-9698,Sphinx,True,True
deepseek-v4-flash__self-compact,DeepSeek V4 Flash,self-compact,django__django-11790,Django,True,False
deepseek-v4-flash__self-compact,DeepSeek V4 Flash,self-compact,django__django-11815,Django,True,True
deepseek-v4-flash__self-compact,DeepSeek V4 Flash,self-compact,django__django-11848,Django,True,False
deepseek-v4-flash__self-compact,DeepSeek V4 Flash,self-compact,django__django-11880,Django,True,True
deepseek-v4-flash__self-compact,DeepSeek V4 Flash,self-compact,django__django-11885,Django,True,False
deepseek-v4-flash__self-compact,DeepSeek V4 Flash,self-compact,django__django-11951,Django,True,True
deepseek-v4-flash__self-compact,DeepSeek V4 Flash,self-compact,django__django-11964,Django,True,False
deepseek-v4-flash__self-compact,DeepSeek V4 Flash,self-compact,django__django-11999,Django,True,True
deepseek-v4-flash__self-compact,DeepSeek V4 Flash,self-compact,django__django-12039,Django,True,True
deepseek-v4-flash__self-compact,DeepSeek V4 Flash,self-compact,django__django-12050,Django,True,True
deepseek-v4-flash__self-compact,DeepSeek V4 Flash,self-compact,django__django-12143,Django,True,True
deepseek-v4-flash__self-compact,DeepSeek V4 Flash,self-compact,django__django-12155,Django,True,True
deepseek-v4-flash__self-compact,DeepSeek V4 Flash,self-compact,django__django-12193,Django,True,True
deepseek-v4-flash__self-compact,DeepSeek V4 Flash,self-compact,django__django-12209,Django,True,True
deepseek-v4-flash__self-compact,DeepSeek V4 Flash,self-compact,django__django-12262,Django,True,True
deepseek-v4-flash__self-compact,DeepSeek V4 Flash,self-compact,django__django-12273,Django,True,False
deepseek-v4-flash__self-compact,DeepSeek V4 Flash,self-compact,django__django-12276,Django,True,True
deepseek-v4-flash__self-compact,DeepSeek V4 Flash,self-compact,django__django-12304,Django,True,True
deepseek-v4-flash__self-compact,DeepSeek V4 Flash,self-compact,django__django-12308,Django,True,False
deepseek-v4-flash__self-compact,DeepSeek V4 Flash,self-compact,django__django-12325,Django,True,False
deepseek-v4-flash__self-compact,DeepSeek V4 Flash,self-compact,django__django-12406,Django,True,False
deepseek-v4-flash__self-compact,DeepSeek V4 Flash,self-compact,django__django-12708,Django,True,True
deepseek-v4-flash__self-compact,DeepSeek V4 Flash,self-compact,django__django-12713,Django,True,True
deepseek-v4-flash__self-compact,DeepSeek V4 Flash,self-compact,django__django-12774,Django,True,True
deepseek-v4-flash__self-compact,DeepSeek V4 Flash,self-compact,django__django-9296,Django,True,True
deepseek-v4-flash__self-compact,DeepSeek V4 Flash,self-compact,sphinx-doc__sphinx-10323,Sphinx,True,True
deepseek-v4-flash__self-compact,DeepSeek V4 Flash,self-compact,sphinx-doc__sphinx-10435,Sphinx,True,False
deepseek-v4-flash__self-compact,DeepSeek V4 Flash,self-compact,sphinx-doc__sphinx-10466,Sphinx,True,True
deepseek-v4-flash__self-compact,DeepSeek V4 Flash,self-compact,sphinx-doc__sphinx-10673,Sphinx,True,False
deepseek-v4-flash__self-compact,DeepSeek V4 Flash,self-compact,sphinx-doc__sphinx-11510,Sphinx,True,False
deepseek-v4-flash__self-compact,DeepSeek V4 Flash,self-compact,sphinx-doc__sphinx-7590,Sphinx,True,False
deepseek-v4-flash__self-compact,DeepSeek V4 Flash,self-compact,sphinx-doc__sphinx-7748,Sphinx,True,False
deepseek-v4-flash__self-compact,DeepSeek V4 Flash,self-compact,sphinx-doc__sphinx-7757,Sphinx,True,True
deepseek-v4-flash__self-compact,DeepSeek V4 Flash,self-compact,sphinx-doc__sphinx-7985,Sphinx,True,False
deepseek-v4-flash__self-compact,DeepSeek V4 Flash,self-compact,sphinx-doc__sphinx-8035,Sphinx,True,True
deepseek-v4-flash__self-compact,DeepSeek V4 Flash,self-compact,sphinx-doc__sphinx-8056,Sphinx,True,False
deepseek-v4-flash__self-compact,DeepSeek V4 Flash,self-compact,sphinx-doc__sphinx-8265,Sphinx,True,False
deepseek-v4-flash__self-compact,DeepSeek V4 Flash,self-compact,sphinx-doc__sphinx-8269,Sphinx,True,True
deepseek-v4-flash__self-compact,DeepSeek V4 Flash,self-compact,sphinx-doc__sphinx-8475,Sphinx,True,True
deepseek-v4-flash__self-compact,DeepSeek V4 Flash,self-compact,sphinx-doc__sphinx-8548,Sphinx,True,False
deepseek-v4-flash__self-compact,DeepSeek V4 Flash,self-compact,sphinx-doc__sphinx-8551,Sphinx,True,True
deepseek-v4-flash__self-compact,DeepSeek V4 Flash,self-compact,sphinx-doc__sphinx-8638,Sphinx,True,False
deepseek-v4-flash__self-compact,DeepSeek V4 Flash,self-compact,sphinx-doc__sphinx-8721,Sphinx,True,True
deepseek-v4-flash__self-compact,DeepSeek V4 Flash,self-compact,sphinx-doc__sphinx-9229,Sphinx,False,False
deepseek-v4-flash__self-compact,DeepSeek V4 Flash,self-compact,sphinx-doc__sphinx-9230,Sphinx,True,True
deepseek-v4-flash__self-compact,DeepSeek V4 Flash,self-compact,sphinx-doc__sphinx-9281,Sphinx,True,False
deepseek-v4-flash__self-compact,DeepSeek V4 Flash,self-compact,sphinx-doc__sphinx-9320,Sphinx,True,True
deepseek-v4-flash__self-compact,DeepSeek V4 Flash,self-compact,sphinx-doc__sphinx-9367,Sphinx,True,True
deepseek-v4-flash__self-compact,DeepSeek V4 Flash,self-compact,sphinx-doc__sphinx-9461,Sphinx,True,False
deepseek-v4-flash__self-compact,DeepSeek V4 Flash,self-compact,sphinx-doc__sphinx-9698,Sphinx,True,True
minimax-m3__luna-compact,MiniMax M3,luna-compact,django__django-11790,Django,True,False
minimax-m3__luna-compact,MiniMax M3,luna-compact,django__django-11815,Django,True,True
minimax-m3__luna-compact,MiniMax M3,luna-compact,django__django-11848,Django,True,True
minimax-m3__luna-compact,MiniMax M3,luna-compact,django__django-11880,Django,True,True
minimax-m3__luna-compact,MiniMax M3,luna-compact,django__django-11885,Django,True,False
minimax-m3__luna-compact,MiniMax M3,luna-compact,django__django-11951,Django,True,True
minimax-m3__luna-compact,MiniMax M3,luna-compact,django__django-11964,Django,True,False
minimax-m3__luna-compact,MiniMax M3,luna-compact,django__django-11999,Django,True,True
minimax-m3__luna-compact,MiniMax M3,luna-compact,django__django-12039,Django,True,True
minimax-m3__luna-compact,MiniMax M3,luna-compact,django__django-12050,Django,True,True
minimax-m3__luna-compact,MiniMax M3,luna-compact,django__django-12143,Django,True,True
minimax-m3__luna-compact,MiniMax M3,luna-compact,django__django-12155,Django,True,True
minimax-m3__luna-compact,MiniMax M3,luna-compact,django__django-12193,Django,True,False
minimax-m3__luna-compact,MiniMax M3,luna-compact,django__django-12209,Django,False,False
minimax-m3__luna-compact,MiniMax M3,luna-compact,django__django-12262,Django,True,True
minimax-m3__luna-compact,MiniMax M3,luna-compact,django__django-12273,Django,True,False
minimax-m3__luna-compact,MiniMax M3,luna-compact,django__django-12276,Django,True,True
minimax-m3__luna-compact,MiniMax M3,luna-compact,django__django-12304,Django,True,True
minimax-m3__luna-compact,MiniMax M3,luna-compact,django__django-12308,Django,True,True
minimax-m3__luna-compact,MiniMax M3,luna-compact,django__django-12325,Django,True,False
minimax-m3__luna-compact,MiniMax M3,luna-compact,django__django-12406,Django,False,False
minimax-m3__luna-compact,MiniMax M3,luna-compact,django__django-12708,Django,True,True
minimax-m3__luna-compact,MiniMax M3,luna-compact,django__django-12713,Django,True,True
minimax-m3__luna-compact,MiniMax M3,luna-compact,django__django-12774,Django,True,True
minimax-m3__luna-compact,MiniMax M3,luna-compact,django__django-9296,Django,True,True
minimax-m3__luna-compact,MiniMax M3,luna-compact,sphinx-doc__sphinx-10323,Sphinx,True,True
minimax-m3__luna-compact,MiniMax M3,luna-compact,sphinx-doc__sphinx-10435,Sphinx,False,False
minimax-m3__luna-compact,MiniMax M3,luna-compact,sphinx-doc__sphinx-10466,Sphinx,True,True
minimax-m3__luna-compact,MiniMax M3,luna-compact,sphinx-doc__sphinx-10673,Sphinx,True,False
minimax-m3__luna-compact,MiniMax M3,luna-compact,sphinx-doc__sphinx-11510,Sphinx,False,False
minimax-m3__luna-compact,MiniMax M3,luna-compact,sphinx-doc__sphinx-7590,Sphinx,True,False
minimax-m3__luna-compact,MiniMax M3,luna-compact,sphinx-doc__sphinx-7748,Sphinx,True,False
minimax-m3__luna-compact,MiniMax M3,luna-compact,sphinx-doc__sphinx-7757,Sphinx,False,False
minimax-m3__luna-compact,MiniMax M3,luna-compact,sphinx-doc__sphinx-7985,Sphinx,True,False
minimax-m3__luna-compact,MiniMax M3,luna-compact,sphinx-doc__sphinx-8035,Sphinx,True,True
minimax-m3__luna-compact,MiniMax M3,luna-compact,sphinx-doc__sphinx-8056,Sphinx,True,False
minimax-m3__luna-compact,MiniMax M3,luna-compact,sphinx-doc__sphinx-8265,Sphinx,True,True
minimax-m3__luna-compact,MiniMax M3,luna-compact,sphinx-doc__sphinx-8269,Sphinx,True,True
minimax-m3__luna-compact,MiniMax M3,luna-compact,sphinx-doc__sphinx-8475,Sphinx,True,True
minimax-m3__luna-compact,MiniMax M3,luna-compact,sphinx-doc__sphinx-8548,Sphinx,True,True
minimax-m3__luna-compact,MiniMax M3,luna-compact,sphinx-doc__sphinx-8551,Sphinx,True,True
minimax-m3__luna-compact,MiniMax M3,luna-compact,sphinx-doc__sphinx-8638,Sphinx,False,False
minimax-m3__luna-compact,MiniMax M3,luna-compact,sphinx-doc__sphinx-8721,Sphinx,True,True
minimax-m3__luna-compact,MiniMax M3,luna-compact,sphinx-doc__sphinx-9229,Sphinx,False,False
minimax-m3__luna-compact,MiniMax M3,luna-compact,sphinx-doc__sphinx-9230,Sphinx,True,True
minimax-m3__luna-compact,MiniMax M3,luna-compact,sphinx-doc__sphinx-9281,Sphinx,True,True
minimax-m3__luna-compact,MiniMax M3,luna-compact,sphinx-doc__sphinx-9320,Sphinx,True,True
minimax-m3__luna-compact,MiniMax M3,luna-compact,sphinx-doc__sphinx-9367,Sphinx,True,True
minimax-m3__luna-compact,MiniMax M3,luna-compact,sphinx-doc__sphinx-9461,Sphinx,False,False
minimax-m3__luna-compact,MiniMax M3,luna-compact,sphinx-doc__sphinx-9698,Sphinx,True,True
minimax-m3__self-compact,MiniMax M3,self-compact,django__django-11790,Django,True,True
minimax-m3__self-compact,MiniMax M3,self-compact,django__django-11815,Django,True,True
minimax-m3__self-compact,MiniMax M3,self-compact,django__django-11848,Django,True,False
minimax-m3__self-compact,MiniMax M3,self-compact,django__django-11880,Django,True,True
minimax-m3__self-compact,MiniMax M3,self-compact,django__django-11885,Django,True,False
minimax-m3__self-compact,MiniMax M3,self-compact,django__django-11951,Django,True,True
minimax-m3__self-compact,MiniMax M3,self-compact,django__django-11964,Django,False,False
minimax-m3__self-compact,MiniMax M3,self-compact,django__django-11999,Django,True,True
minimax-m3__self-compact,MiniMax M3,self-compact,django__django-12039,Django,True,True
minimax-m3__self-compact,MiniMax M3,self-compact,django__django-12050,Django,True,True
minimax-m3__self-compact,MiniMax M3,self-compact,django__django-12143,Django,True,True
minimax-m3__self-compact,MiniMax M3,self-compact,django__django-12155,Django,True,True
minimax-m3__self-compact,MiniMax M3,self-compact,django__django-12193,Django,True,False
minimax-m3__self-compact,MiniMax M3,self-compact,django__django-12209,Django,False,False
minimax-m3__self-compact,MiniMax M3,self-compact,django__django-12262,Django,True,True
minimax-m3__self-compact,MiniMax M3,self-compact,django__django-12273,Django,True,False
minimax-m3__self-compact,MiniMax M3,self-compact,django__django-12276,Django,True,True
minimax-m3__self-compact,MiniMax M3,self-compact,django__django-12304,Django,True,True
minimax-m3__self-compact,MiniMax M3,self-compact,django__django-12308,Django,True,True
minimax-m3__self-compact,MiniMax M3,self-compact,django__django-12325,Django,True,True
minimax-m3__self-compact,MiniMax M3,self-compact,django__django-12406,Django,True,False
minimax-m3__self-compact,MiniMax M3,self-compact,django__django-12708,Django,True,True
minimax-m3__self-compact,MiniMax M3,self-compact,django__django-12713,Django,True,True
minimax-m3__self-compact,MiniMax M3,self-compact,django__django-12774,Django,True,False
minimax-m3__self-compact,MiniMax M3,self-compact,django__django-9296,Django,True,True
minimax-m3__self-compact,MiniMax M3,self-compact,sphinx-doc__sphinx-10323,Sphinx,True,True
minimax-m3__self-compact,MiniMax M3,self-compact,sphinx-doc__sphinx-10435,Sphinx,True,False
minimax-m3__self-compact,MiniMax M3,self-compact,sphinx-doc__sphinx-10466,Sphinx,True,False
minimax-m3__self-compact,MiniMax M3,self-compact,sphinx-doc__sphinx-10673,Sphinx,False,False
minimax-m3__self-compact,MiniMax M3,self-compact,sphinx-doc__sphinx-11510,Sphinx,True,False
minimax-m3__self-compact,MiniMax M3,self-compact,sphinx-doc__sphinx-7590,Sphinx,True,False
minimax-m3__self-compact,MiniMax M3,self-compact,sphinx-doc__sphinx-7748,Sphinx,True,False
minimax-m3__self-compact,MiniMax M3,self-compact,sphinx-doc__sphinx-7757,Sphinx,True,True
minimax-m3__self-compact,MiniMax M3,self-compact,sphinx-doc__sphinx-7985,Sphinx,True,False
minimax-m3__self-compact,MiniMax M3,self-compact,sphinx-doc__sphinx-8035,Sphinx,True,True
minimax-m3__self-compact,MiniMax M3,self-compact,sphinx-doc__sphinx-8056,Sphinx,False,False
minimax-m3__self-compact,MiniMax M3,self-compact,sphinx-doc__sphinx-8265,Sphinx,False,False
minimax-m3__self-compact,MiniMax M3,self-compact,sphinx-doc__sphinx-8269,Sphinx,True,True
minimax-m3__self-compact,MiniMax M3,self-compact,sphinx-doc__sphinx-8475,Sphinx,True,True
minimax-m3__self-compact,MiniMax M3,self-compact,sphinx-doc__sphinx-8548,Sphinx,True,False
minimax-m3__self-compact,MiniMax M3,self-compact,sphinx-doc__sphinx-8551,Sphinx,True,True
minimax-m3__self-compact,MiniMax M3,self-compact,sphinx-doc__sphinx-8638,Sphinx,True,False
minimax-m3__self-compact,MiniMax M3,self-compact,sphinx-doc__sphinx-8721,Sphinx,True,True
minimax-m3__self-compact,MiniMax M3,self-compact,sphinx-doc__sphinx-9229,Sphinx,False,False
minimax-m3__self-compact,MiniMax M3,self-compact,sphinx-doc__sphinx-9230,Sphinx,True,True
minimax-m3__self-compact,MiniMax M3,self-compact,sphinx-doc__sphinx-9281,Sphinx,True,True
minimax-m3__self-compact,MiniMax M3,self-compact,sphinx-doc__sphinx-9320,Sphinx,True,True
minimax-m3__self-compact,MiniMax M3,self-compact,sphinx-doc__sphinx-9367,Sphinx,True,True
minimax-m3__self-compact,MiniMax M3,self-compact,sphinx-doc__sphinx-9461,Sphinx,True,True
minimax-m3__self-compact,MiniMax M3,self-compact,sphinx-doc__sphinx-9698,Sphinx,True,True
